Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2014-01-02,005380,236500,238000,224500,224500,224500,720748
2014-01-03,005380,226500,228000,222500,224000,224000,572466
2014-01-06,005380,224000,231000,222500,228500,228500,669198
2014-01-07,005380,232000,232000,228500,229000,229000,464556
2014-01-08,005380,230000,231500,228500,229500,229500,242741
2014-01-09,005380,228500,231500,224500,224500,224500,353670
2014-01-10,005380,224000,224500,219000,221000,221000,427325
2014-01-13,005380,221500,231000,221500,228000,228000,406080
2014-01-14,005380,231500,238000,231000,232000,232000,723928
2014-01-15,005380,235000,236000,230000,231000,231000,358668
2014-01-16,005380,231000,235000,230500,233000,233000,277244
2014-01-17,005380,232000,233000,228500,228500,228500,333046
2014-01-20,005380,230000,232000,227000,231000,231000,219229
2014-01-21,005380,231500,237000,229500,236000,236000,425513
2014-01-22,005380,234500,238000,233500,236500,236500,301292
2014-01-23,005380,235500,236500,231500,232000,232000,380995
2014-01-24,005380,230000,230500,221500,228000,228000,1188198
2014-01-27,005380,223500,229000,222000,223500,223500,581266
2014-01-28,005380,222500,232000,222000,230500,230500,664778
2014-01-29,005380,235000,236000,232500,234500,234500,733231
2014-02-03,005380,234000,235000,230000,231500,231500,569289
2014-02-04,005380,227500,232500,226000,226000,226000,692218
2014-02-05,005380,228500,233500,228000,228500,228500,610300
2014-02-06,005380,229000,230000,226000,226500,226500,531303
2014-02-07,005380,230000,232500,228000,230500,230500,439616
2014-02-10,005380,230000,234500,229500,233500,233500,384554
2014-02-11,005380,232000,234500,230500,231000,231000,345374
2014-02-12,005380,230500,231500,226500,227500,227500,540947
2014-02-13,005380,229000,231000,227000,227000,227000,294179
2014-02-14,005380,228500,233000,228000,232500,232500,386819
2014-02-17,005380,234500,235500,231500,233000,233000,306825
2014-02-18,005380,232000,234500,229000,229500,229500,295621
2014-02-19,005380,227500,228500,224000,225500,225500,727791
2014-02-20,005380,224000,225000,220500,222000,222000,606004
2014-02-21,005380,223000,228500,223000,228000,228000,560650
2014-02-24,005380,228000,229000,226000,227500,227500,368600
2014-02-25,005380,228500,234000,228000,233000,233000,504242
2014-02-26,005380,235000,239000,233500,236500,236500,725633
2014-02-27,005380,238000,243500,236000,243500,243500,603048
2014-02-28,005380,243500,246000,241000,245000,245000,525904
2014-03-03,005380,242500,246000,240500,246000,246000,397189
2014-03-04,005380,245000,245500,241500,242000,242000,283267
2014-03-05,005380,246000,246000,242500,244500,244500,303418
2014-03-06,005380,246500,246500,241000,243500,243500,292360
2014-03-07,005380,244000,244000,237500,238500,238500,374495
2014-03-10,005380,236500,238000,235000,237000,237000,403993
2014-03-11,005380,238500,239000,235000,236500,236500,381899
