Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2014-01-02,005930,26960,27100,26040,26180,26180,620500
2014-01-03,005930,26000,26220,25740,25920,25920,529932
2014-01-06,005930,26060,26399,25920,26140,26140,394716
2014-01-07,005930,26000,26360,25900,26080,26080,395264
2014-01-08,005930,26000,26080,25740,25820,25820,409493
2014-01-09,005930,26140,26140,25500,25500,25500,425019
2014-01-10,005930,25500,25720,25440,25440,25440,363783
2014-01-13,005930,25660,25940,25460,25900,25900,328987
2014-01-14,005930,25940,26600,25800,26260,26260,294333
2014-01-15,005930,26600,26619,25960,25980,25980,234949
2014-01-16,005930,26000,26200,25860,26020,26020,195049
2014-01-17,005930,26020,26300,25840,25840,25840,255485
2014-01-20,005930,26100,26379,25920,26320,26320,173656
2014-01-21,005930,26300,26540,26220,26480,26480,151246
2014-01-22,005930,26280,26560,26240,26560,26560,216530
2014-01-23,005930,26320,26440,25980,25980,25980,206739
2014-01-24,005930,26000,26360,25820,26140,26140,280035
2014-01-27,005930,25860,26080,25700,25840,25840,266926
2014-01-28,005930,25460,25860,25460,25660,25660,234027
2014-01-29,005930,25600,25760,25540,25600,25600,383637
2014-02-03,005930,25720,25760,25420,25440,25440,325184
2014-02-04,005930,25260,25260,24980,24980,24980,320660
2014-02-05,005930,24900,25100,24680,24740,24740,298533
2014-02-06,005930,24900,25340,24800,25180,25180,303949
2014-02-07,005930,25500,25580,25260,25500,25500,198872
2014-02-10,005930,25420,25620,25240,25540,25540,155993
2014-02-11,005930,25620,26300,25440,26220,26220,253680
2014-02-12,005930,26620,26620,26100,26140,26140,200548
2014-02-13,005930,26000,26400,25800,25960,25960,116769
2014-02-14,005930,25920,26160,25840,26020,26020,124415
2014-02-17,005930,25840,26120,25600,25700,25700,187733
2014-02-18,005930,25700,25980,25640,25900,25900,118213
2014-02-19,005930,26000,26000,25600,25800,25800,123595
2014-02-20,005930,25800,25920,25620,25720,25720,190866
2014-02-21,005930,26659,26659,26000,26600,26600,286924
2014-02-24,005930,26680,26899,26419,26560,26560,148501
2014-02-25,005930,26640,26800,26520,26680,26680,175706
2014-02-26,005930,26740,26860,26500,26840,26840,258361
2014-02-27,005930,26700,26840,26600,26820,26820,157827
2014-02-28,005930,26740,26980,26640,26980,26980,284647
2014-03-03,005930,26720,26800,26420,26500,26500,242083
2014-03-04,005930,26400,26580,26299,26300,26300,158003
2014-03-05,005930,26700,26820,26600,26600,26600,149830
2014-03-06,005930,26580,26580,26200,26520,26520,172335
2014-03-07,005930,26780,26780,26580,26780,26780,150973
2014-03-10,005930,26399,26600,26340,26400,26400,173152
2014-03-11,005930,26400,26540,26180,26440,26440,181596
2014-03-12,005930,26400,26400,25860,25880,25880,251585
2014-03-13,005930,25880,26260,25800,25800,25800,235004
2014-03-14,005930,25400,25700,25400,25500,25500,216736
2014-03-17,005930,25500,25520,25160,25320,25320,176400
2014-03-18,005930,25400,25660,25320,25560,25560,220912
2014-03-19,005930,25600,25700,25360,25380,25380,152771
2014-03-20,005930,25400,25440,25240,25240,25240,118788
2014-03-21,005930,25380,25460,25240,25460,25460,166426
2014-03-24,005930,25200,25480,25180,25460,25460,141478
2014-03-25,005930,25380,25400,24820,24940,24940,272500
2014-03-26,005930,25380,25800,24960,25700,25700,348894
2014-03-27,005930,25800,26660,25700,26660,26660,417557
2014-03-28,005930,26400,26760,26400,26700,26700,212974
2014-03-31,005930,26900,26900,26440,26860,26860,265197
2014-04-01,005930,26900,26900,26619,26780,26780,221620
2014-04-02,005930,26999,27140,26860,27140,27140,262001
2014-04-03,005930,27020,27900,27020,27800,27800,381976
2014-04-04,005930,27540,27940,27540,27600,27600,368007
2014-04-07,005930,27940,27940,27480,27940,27940,215235
2014-04-08,005930,27740,27980,27500,27880,27880,212164
2014-04-09,005930,27880,27900,27280,27420,27420,321232
2014-04-10,005930,27380,27600,27199,27600,27600,199984
2014-04-11,005930,27240,27359,27180,27300,27300,213187
2014-04-14,005930,27300,27720,27300,27400,27400,211720
2014-04-15,005930,27720,27739,27379,27400,27400,219396
2014-04-16,005930,27400,27840,27259,27600,27600,186171
2014-04-17,005930,27520,27600,27320,27400,27400,144833
2014-04-18,005930,27399,27580,27399,27560,27560,190367
2014-04-21,005930,27580,27720,27500,27600,27600,65985
2014-04-22,005930,27480,27680,27420,27500,27500,121686
2014-04-23,005930,27880,27900,27640,27780,27780,190015
2014-04-24,005930,28180,28180,27980,28140,28140,210924
2014-04-25,005930,28400,28560,27959,27980,27980,305396
2014-04-28,005930,28080,28120,27640,27760,27760,188629
2014-04-29,005930,27780,27900,27019,27200,27200,218184
2014-04-30,005930,27600,27619,26519,26860,26860,300946
2014-05-02,005930,27080,27180,26880,26920,26920,298867
2014-05-07,005930,27000,27120,26800,26880,26880,283794
2014-05-08,005930,27100,27100,26880,27000,27000,325638
2014-05-09,005930,27120,27160,26520,26700,26700,263141
2014-05-12,005930,26720,27900,26640,27760,27760,318896
2014-05-13,005930,27760,28500,27760,28000,28000,242148
2014-05-14,005930,28180,28300,28020,28300,28300,222075
2014-05-15,005930,28280,28379,28060,28200,28200,136134
2014-05-16,005930,28000,28740,27980,28560,28560,317130
2014-05-19,005930,28560,29000,28160,28960,28960,385621
2014-05-20,005930,28900,29080,28700,29020,29020,320146
2014-05-21,005930,28700,29000,28700,28820,28820,216850
2014-05-22,005930,28819,28960,28520,28520,28520,190800
2014-05-23,005930,28100,28560,28100,28560,28560,170233
2014-05-26,005930,28400,28640,28300,28440,28440,74712
2014-05-27,005930,28340,28460,28059,28140,28140,94968
2014-05-28,005930,28380,28700,28180,28660,28660,184019
2014-05-29,005930,29000,29300,28800,29200,29200,250430
2014-05-30,005930,29400,29639,28859,28860,28860,316621
2014-06-02,005930,28860,29160,28780,29100,29100,148789
2014-06-03,005930,29680,29900,29300,29400,29400,344685
2014-06-05,005930,29320,29600,29000,29140,29140,270141
2014-06-09,005930,29400,29459,28040,28180,28180,445392
2014-06-10,005930,28419,28760,28100,28720,28720,184282
2014-06-11,005930,28239,28600,28239,28440,28440,172515
2014-06-12,005930,28600,28600,28020,28260,28260,258863
2014-06-13,005930,28040,28080,27260,27340,27340,371781
2014-06-16,005930,27599,27639,27240,27480,27480,306399
2014-06-17,005930,27200,27559,27020,27480,27480,269535
2014-06-18,005930,27460,27519,27120,27160,27160,220887
2014-06-19,005930,26899,26980,26399,26460,26460,446794
2014-06-20,005930,26600,26600,25920,26020,26020,478053
2014-06-23,005930,26420,26640,26320,26440,26440,249765
2014-06-24,005930,26800,27079,26640,26900,26900,237817
2014-06-25,005930,26600,26660,26360,26400,26400,204638
2014-06-26,005930,26180,26860,26140,26500,26500,255306
2014-06-27,005930,26140,26379,26120,26220,26220,179061
2014-06-30,005930,26199,26479,26180,26440,26440,177621
2014-07-01,005930,26160,26279,26020,26200,26200,174508
2014-07-02,005930,26340,26620,26120,26600,26600,222785
2014-07-03,005930,26720,26720,26320,26360,26360,170861
2014-07-04,005930,26440,26520,26060,26120,26120,119577
2014-07-07,005930,25820,26020,25800,25840,25840,188741
2014-07-08,005930,25880,26380,25740,25900,25900,241464
2014-07-09,005930,25740,26160,25660,26160,26160,236598
2014-07-10,005930,26160,26220,26040,26120,26120,179204
2014-07-11,005930,26000,26040,25640,25680,25680,215592
2014-07-14,005930,25960,26000,25720,25720,25720,141643
2014-07-15,005930,26000,26459,25940,26400,26400,239521
2014-07-16,005930,26259,26459,26220,26420,26420,182284
2014-07-17,005930,26519,26700,26400,26600,26600,218454
2014-07-18,005930,26300,26860,26280,26860,26860,194853
2014-07-21,005930,26980,27200,26860,27060,27060,161199
2014-07-22,005930,26960,27159,26900,26960,26960,126019
2014-07-23,005930,27080,27140,26700,26760,26760,128346
2014-07-24,005930,27000,27159,26620,27100,27100,161034
2014-07-25,005930,26920,27100,26700,27100,27100,175803
2014-07-28,005930,27099,27340,26880,27160,27160,179851
2014-07-29,005930,27099,27759,27060,27720,27720,256186
2014-07-30,005930,27760,28160,27480,27900,27900,347189
2014-07-31,005930,27480,27700,26720,26860,26860,487027
2014-08-01,005930,26100,26560,25840,25840,25840,564621
2014-08-04,005930,26000,26340,25820,26340,26340,241335
2014-08-05,005930,26020,26420,26000,26320,26320,172529
2014-08-06,005930,26120,26320,25900,26000,26000,216602
2014-08-07,005930,26000,26040,25700,25800,25800,190545
2014-08-08,005930,25680,25700,24960,25000,25000,412429
2014-08-11,005930,25500,25640,25140,25400,25400,372385
2014-08-12,005930,25400,25880,25240,25320,25320,179914
2014-08-13,005930,25500,25500,24960,25280,25280,256900
2014-08-14,005930,25480,25640,25080,25220,25220,208947
2014-08-18,005930,25580,25600,25000,25000,25000,210379
2014-08-19,005930,25280,25460,25060,25080,25080,200888
2014-08-20,005930,25280,25420,25020,25220,25220,188612
2014-08-21,005930,25100,25220,24620,24700,24700,342108
2014-08-22,005930,24900,24940,24700,24940,24940,168153
2014-08-25,005930,24620,24620,24420,24560,24560,231544
2014-08-26,005930,24700,24700,24420,24440,24440,214389
2014-08-27,005930,24460,24740,24440,24600,24600,243420
2014-08-28,005930,25160,25160,24720,24840,24840,206237
2014-08-29,005930,24760,24760,24560,24680,24680,291165
2014-09-01,005930,24720,24740,24480,24520,24520,113281
2014-09-02,005930,24420,24500,23880,23880,23880,317992
2014-09-03,005930,24000,24000,23600,23780,23780,424775
2014-09-04,005930,24200,24320,24040,24200,24200,241999
2014-09-05,005930,24300,24320,23900,24020,24020,215408
2014-09-11,005930,24000,24140,23840,23840,23840,466184
2014-09-12,005930,24000,24160,24000,24020,24020,217447
2014-09-15,005930,24140,24160,23920,24000,24000,143230
2014-09-16,005930,24160,24300,24020,24120,24120,141848
2014-09-17,005930,24140,24520,24140,24520,24520,150915
2014-09-18,005930,24600,24600,24080,24200,24200,189535
2014-09-19,005930,24460,24460,24120,24200,24200,268701
2014-09-22,005930,24080,24080,23600,23760,23760,320442
2014-09-23,005930,23560,23700,23220,23220,23220,390828
2014-09-24,005930,23040,23220,22820,23000,23000,315784
2014-09-25,005930,23240,23320,22940,23120,23120,388290
2014-09-26,005930,23040,23700,22960,23700,23700,248271
2014-09-29,005930,23860,24000,23400,23900,23900,188020
2014-09-30,005930,23700,23760,23300,23680,23680,247586
2014-10-01,005930,23480,23660,23120,23120,23120,238596
2014-10-02,005930,23300,23300,22820,22820,22820,254655
2014-10-06,005930,22900,23120,22760,23020,23020,425058
2014-10-07,005930,23240,23720,23240,23240,23240,202983
2014-10-08,005930,22840,23020,22480,22600,22600,294411
2014-10-10,005930,22000,22280,21980,22100,22100,436749
2014-10-13,005930,21640,22540,21560,22160,22160,226895
2014-10-14,005930,22540,22920,22400,22540,22540,331451
2014-10-15,005930,22560,22900,22400,22500,22500,282872
2014-10-16,005930,22320,22420,22080,22300,22300,302966
2014-10-17,005930,22120,22300,21740,21780,21780,325635
2014-10-20,005930,22300,22340,22020,22120,22120,189535
2014-10-21,005930,21880,22000,21620,21660,21660,235321
2014-10-22,005930,21940,22080,21800,22080,22080,222554
2014-10-23,005930,22260,22260,21800,21880,21880,170118
2014-10-24,005930,22060,22240,21840,22240,22240,167569
2014-10-27,005930,22020,22220,21740,21900,21900,167772
2014-10-28,005930,21800,22000,21720,21820,21820,124877
2014-10-29,005930,22000,22600,21800,22600,22600,274522
2014-10-30,005930,22580,23660,22300,23620,23620,491339
2014-10-31,005930,23960,25000,23700,24880,24880,772463
2014-11-03,005930,25000,25040,24320,24700,24700,269516
2014-11-04,005930,24380,24840,24100,24340,24340,260006
2014-11-05,005930,24300,24500,23880,24040,24040,203243
2014-11-06,005930,23960,24200,23860,24080,24080,171403
2014-11-07,005930,24360,24360,23900,24120,24120,120604
2014-11-10,005930,24520,25380,24440,25360,25360,384058
2014-11-11,005930,25100,25220,24540,24620,24620,242828
2014-11-12,005930,24620,24680,24380,24600,24600,181592
2014-11-13,005930,24560,24640,23980,24000,24000,230943
2014-11-14,005930,24020,24020,23600,23880,23880,212435
2014-11-17,005930,23800,24400,23640,24100,24100,193879
2014-11-18,005930,24400,24540,24300,24400,24400,215094
2014-11-19,005930,24760,24760,24240,24360,24360,250055
2014-11-20,005930,24120,24400,24120,24200,24200,200483
2014-11-21,005930,24380,24520,24340,24460,24460,246727
2014-11-24,005930,24940,24960,24200,24400,24400,205686
2014-11-25,005930,24480,24480,23800,23800,23800,356221
2014-11-26,005930,23800,24220,23640,24020,24020,245758
2014-11-27,005930,25460,26020,25280,25280,25280,887556
2014-11-28,005930,25900,25920,25480,25740,25740,196891
2014-12-01,005930,25880,25960,25740,25900,25900,257337
2014-12-02,005930,25900,25900,25320,25900,25900,184454
2014-12-03,005930,26000,26020,25900,25960,25960,194710
2014-12-04,005930,26040,26060,25960,26000,26000,177427
2014-12-05,005930,26280,26280,26000,26040,26040,112756
2014-12-08,005930,26060,26420,26040,26380,26380,158331
2014-12-09,005930,26380,27139,26380,26980,26980,271062
2014-12-10,005930,26920,26920,26340,26340,26340,319556
2014-12-11,005930,26340,26380,25880,26100,26100,409817
2014-12-12,005930,26060,26080,25480,25720,25720,287945
2014-12-15,005930,25600,25600,25200,25460,25460,286759
2014-12-16,005930,25400,25780,25360,25580,25580,257895
2014-12-17,005930,25580,25660,25060,25320,25320,261773
2014-12-18,005930,25320,25580,25040,25320,25320,236165
2014-12-19,005930,25880,26560,25740,26560,26560,367130
2014-12-22,005930,26900,26940,26360,26900,26900,358877
2014-12-23,005930,26920,26980,26740,26780,26780,219527
2014-12-24,005930,26779,26860,26779,26860,26860,125140
2014-12-26,005930,26859,27100,26859,27040,27040,229762
2014-12-29,005930,26900,26940,26580,26580,26580,192749
2014-12-30,005930,26600,26700,26420,26540,26540,212982
2015-01-02,005930,26799,26799,26540,26600,26600,175499
2015-01-05,005930,26720,26720,26260,26660,26660,202790
2015-01-06,005930,26300,26340,25760,25900,25900,304710
2015-01-07,005930,25880,26220,25640,26140,26140,286455
2015-01-08,005930,26780,26780,26199,26280,26280,289552
2015-01-09,005930,26280,26440,26280,26280,26280,186248
2015-01-12,005930,26260,26379,26020,26320,26320,166508
2015-01-13,005930,26280,26800,26000,26780,26780,245868
2015-01-14,005930,26780,27100,26700,26900,26900,286645
2015-01-15,005930,26900,26979,26580,26680,26680,282078
2015-01-16,005930,26680,26680,26260,26320,26320,271370
2015-01-19,005930,26580,26980,26400,26860,26860,133459
2015-01-20,005930,27000,27440,26900,27440,27440,265561
2015-01-21,005930,27340,27900,27200,27900,27900,332253
2015-01-22,005930,27960,27979,27560,27560,27560,359154
2015-01-23,005930,27999,27999,27540,27720,27720,257175
2015-01-26,005930,27500,27900,27280,27780,27780,203070
2015-01-27,005930,27500,27999,27480,28000,28000,199144
2015-01-28,005930,27720,27800,27479,27560,27560,216630
2015-01-29,005930,27360,27900,27140,27200,27200,274045
2015-01-30,005930,27200,27540,27200,27300,27300,322200
2015-02-02,005930,27299,27540,27120,27360,27360,210420
2015-02-03,005930,27600,27600,27180,27320,27320,113088
2015-02-04,005930,27500,27620,27180,27180,27180,186578
2015-02-05,005930,27180,27379,26920,27160,27160,135408
2015-02-06,005930,26919,27480,26720,27440,27440,160101
2015-02-09,005930,27200,27980,27140,27900,27900,173870
2015-02-10,005930,28000,28000,27540,27560,27560,130387
2015-02-11,005930,27480,27480,27080,27100,27100,199476
2015-02-12,005930,26800,27160,26620,26880,26880,214964
2015-02-13,005930,27200,27220,26900,27220,27220,130458
2015-02-16,005930,27360,27480,27220,27480,27480,124530
2015-02-17,005930,27479,27539,27280,27540,27540,114900
2015-02-23,005930,27560,27800,27320,27340,27340,306036
2015-02-24,005930,27699,27780,27280,27340,27340,217265
2015-02-25,005930,27600,27700,27460,27580,27580,167485
2015-02-26,005930,27580,27600,27360,27500,27500,163583
2015-02-27,005930,27500,27520,27140,27140,27140,260188
2015-03-02,005930,27500,28460,27340,28460,28460,436112
2015-03-03,005930,28699,28740,28119,28360,28360,274976
2015-03-04,005930,28220,28800,28200,28740,28740,232062
2015-03-05,005930,28780,28860,28340,28440,28440,192312
2015-03-06,005930,28280,28980,28120,28840,28840,234670
2015-03-09,005930,28800,28800,28400,28400,28400,156292
2015-03-10,005930,28679,28860,28400,28420,28420,208397
2015-03-11,005930,28380,29580,28360,29480,29480,422173
2015-03-12,005930,29200,29460,28940,28940,28940,383064
2015-03-13,005930,29220,29580,29100,29140,29140,188262
2015-03-16,005930,29160,29740,29100,29400,29400,179491
2015-03-17,005930,29399,29999,29200,29940,29940,273223
