timestamp,open,high,low,close,volume
2019-08-01 09:30:00+00:00,,,,,0
2019-08-01 09:31:00+00:00,,,,,0
2019-08-01 09:32:00+00:00,214.13,214.13,214.11,214.11,50
2019-08-01 09:33:00+00:00,,,,,0
2019-08-01 09:34:00+00:00,,,,,0
2019-08-01 09:35:00+00:00,214.11,214.11,214.11,214.11,50
2019-08-01 09:36:00+00:00,,,,,0
2019-08-01 09:37:00+00:00,,,,,0
2019-08-01 09:38:00+00:00,214.25,214.27,214.25,214.27,237
2019-08-01 09:39:00+00:00,214.27,214.28,214.27,214.28,800
2019-08-01 09:40:00+00:00,214.28,214.28,214.28,214.28,60
2019-08-01 09:41:00+00:00,214.28,214.28,214.28,214.28,253
2019-08-01 09:42:00+00:00,,,,,0
2019-08-01 09:43:00+00:00,214.38,214.45,214.38,214.45,1000
2019-08-01 09:44:00+00:00,214.45,214.45,214.45,214.45,9
2019-08-01 09:45:00+00:00,,,,,0
2019-08-01 09:46:00+00:00,,,,,0
2019-08-01 09:47:00+00:00,,,,,0
2019-08-01 09:48:00+00:00,,,,,0
2019-08-01 09:49:00+00:00,,,,,0
2019-08-01 09:50:00+00:00,,,,,0
2019-08-01 09:51:00+00:00,214.35,214.45,214.35,214.45,68
2019-08-01 09:52:00+00:00,,,,,0
2019-08-01 09:53:00+00:00,,,,,0
2019-08-01 09:54:00+00:00,,,,,0
2019-08-01 09:55:00+00:00,,,,,0
2019-08-01 09:56:00+00:00,,,,,0
2019-08-01 09:57:00+00:00,,,,,0
2019-08-01 09:58:00+00:00,,,,,0
2019-08-01 09:59:00+00:00,,,,,0
2019-08-01 10:00:00+00:00,214.5,214.5,214.5,214.5,11
2019-08-01 10:01:00+00:00,214.5,214.5,214.5,214.5,100
2019-08-01 10:02:00+00:00,214.65,214.65,214.65,214.65,40
2019-08-01 10:03:00+00:00,,,,,0
2019-08-01 10:04:00+00:00,,,,,0
2019-08-01 10:05:00+00:00,,,,,0
2019-08-01 10:06:00+00:00,214.65,214.65,214.65,214.65,10
2019-08-01 10:07:00+00:00,,,,,0
2019-08-01 10:08:00+00:00,,,,,0
2019-08-01 10:09:00+00:00,214.5,214.5,214.5,214.5,200
2019-08-01 10:10:00+00:00,214.5,214.5,214.5,214.5,50
2019-08-01 10:11:00+00:00,214.5,214.5,214.5,214.5,100
2019-08-01 10:12:00+00:00,214.5,214.5,214.5,214.5,800
